url,label,kind,paint_type,color,color_family,glans,full_code,sku,product_handle,slug
https://www.denlillemalerfabrik.dk/qr/dlm60-0302-g60,Gulvmaling — Drivsten · Glans 60,color,Gulvmaling,Drivsten,,60,DLM60-0302,DLM60-0302-G60-10L,gulvmaling-glans-60,/qr/dlm60-0302-g60
https://www.denlillemalerfabrik.dk/qr/dlm60-0303-g30,Gulvmaling — Granitgrå · Glans 30,color,Gulvmaling,Granitgrå,,30,DLM60-0303,DLM60-0303-G30-10L,gulvmaling-glans-30,/qr/dlm60-0303-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0303-g40,Gulvmaling — Granitgrå · Glans 40,color,Gulvmaling,Granitgrå,,40,DLM60-0303,DLM60-0303-G40-10L,gulvmaling-glans-40,/qr/dlm60-0303-g40
https://www.denlillemalerfabrik.dk/qr/dlm60-0303-g60,Gulvmaling — Granitgrå · Glans 60,color,Gulvmaling,Granitgrå,,60,DLM60-0303,DLM60-0303-G60-10L,gulvmaling-glans-60,/qr/dlm60-0303-g60
https://www.denlillemalerfabrik.dk/qr/dlm60-0304-g30,Gulvmaling — Skifergrå · Glans 30,color,Gulvmaling,Skifergrå,,30,DLM60-0304,DLM60-0304-G30-10L,gulvmaling-glans-30,/qr/dlm60-0304-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0304-g40,Gulvmaling — Skifergrå · Glans 40,color,Gulvmaling,Skifergrå,,40,DLM60-0304,DLM60-0304-G40-10L,gulvmaling-glans-40,/qr/dlm60-0304-g40
https://www.denlillemalerfabrik.dk/qr/dlm60-0304-g60,Gulvmaling — Skifergrå · Glans 60,color,Gulvmaling,Skifergrå,,60,DLM60-0304,DLM60-0304-G60-10L,gulvmaling-glans-60,/qr/dlm60-0304-g60
https://www.denlillemalerfabrik.dk/qr/dlm60-0401-g30,Gulvmaling — Morgendug · Glans 30,color,Gulvmaling,Morgendug,,30,DLM60-0401,DLM60-0401-G30-10L,gulvmaling-glans-30,/qr/dlm60-0401-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0401-g40,Gulvmaling — Morgendug · Glans 40,color,Gulvmaling,Morgendug,,40,DLM60-0401,DLM60-0401-G40-10L,gulvmaling-glans-40,/qr/dlm60-0401-g40
https://www.denlillemalerfabrik.dk/qr/dlm60-0401-g60,Gulvmaling — Morgendug · Glans 60,color,Gulvmaling,Morgendug,,60,DLM60-0401,DLM60-0401-G60-10L,gulvmaling-glans-60,/qr/dlm60-0401-g60
https://www.denlillemalerfabrik.dk/qr/dlm60-0402-g30,Gulvmaling — Mynte · Glans 30,color,Gulvmaling,Mynte,,30,DLM60-0402,DLM60-0402-G30-10L,gulvmaling-glans-30,/qr/dlm60-0402-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0402-g40,Gulvmaling — Mynte · Glans 40,color,Gulvmaling,Mynte,,40,DLM60-0402,DLM60-0402-G40-10L,gulvmaling-glans-40,/qr/dlm60-0402-g40
https://www.denlillemalerfabrik.dk/qr/dlm60-0402-g60,Gulvmaling — Mynte · Glans 60,color,Gulvmaling,Mynte,,60,DLM60-0402,DLM60-0402-G60-10L,gulvmaling-glans-60,/qr/dlm60-0402-g60
https://www.denlillemalerfabrik.dk/qr/dlm60-0403-g30,Gulvmaling — Salvie · Glans 30,color,Gulvmaling,Salvie,,30,DLM60-0403,DLM60-0403-G30-10L,gulvmaling-glans-30,/qr/dlm60-0403-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0403-g40,Gulvmaling — Salvie · Glans 40,color,Gulvmaling,Salvie,,40,DLM60-0403,DLM60-0403-G40-10L,gulvmaling-glans-40,/qr/dlm60-0403-g40
https://www.denlillemalerfabrik.dk/qr/dlm60-0403-g60,Gulvmaling — Salvie · Glans 60,color,Gulvmaling,Salvie,,60,DLM60-0403,DLM60-0403-G60-10L,gulvmaling-glans-60,/qr/dlm60-0403-g60
https://www.denlillemalerfabrik.dk/qr/dlm60-0404-g30,Gulvmaling — Skovdybde · Glans 30,color,Gulvmaling,Skovdybde,,30,DLM60-0404,DLM60-0404-G30-10L,gulvmaling-glans-30,/qr/dlm60-0404-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0404-g40,Gulvmaling — Skovdybde · Glans 40,color,Gulvmaling,Skovdybde,,40,DLM60-0404,DLM60-0404-G40-10L,gulvmaling-glans-40,/qr/dlm60-0404-g40
https://www.denlillemalerfabrik.dk/qr/dlm60-0404-g60,Gulvmaling — Skovdybde · Glans 60,color,Gulvmaling,Skovdybde,,60,DLM60-0404,DLM60-0404-G60-10L,gulvmaling-glans-60,/qr/dlm60-0404-g60
https://www.denlillemalerfabrik.dk/qr/dlm60-0501-g30,Gulvmaling — Elfenben · Glans 30,color,Gulvmaling,Elfenben,,30,DLM60-0501,DLM60-0501-G30-10L,gulvmaling-glans-30,/qr/dlm60-0501-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0501-g40,Gulvmaling — Elfenben · Glans 40,color,Gulvmaling,Elfenben,,40,DLM60-0501,DLM60-0501-G40-10L,gulvmaling-glans-40,/qr/dlm60-0501-g40
https://www.denlillemalerfabrik.dk/qr/dlm60-0501-g60,Gulvmaling — Elfenben · Glans 60,color,Gulvmaling,Elfenben,,60,DLM60-0501,DLM60-0501-G60-10L,gulvmaling-glans-60,/qr/dlm60-0501-g60
https://www.denlillemalerfabrik.dk/qr/dlm60-0502-g30,Gulvmaling — Havremel · Glans 30,color,Gulvmaling,Havremel,,30,DLM60-0502,DLM60-0502-G30-10L,gulvmaling-glans-30,/qr/dlm60-0502-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0502-g40,Gulvmaling — Havremel · Glans 40,color,Gulvmaling,Havremel,,40,DLM60-0502,DLM60-0502-G40-10L,gulvmaling-glans-40,/qr/dlm60-0502-g40
https://www.denlillemalerfabrik.dk/qr/dlm60-0502-g60,Gulvmaling — Havremel · Glans 60,color,Gulvmaling,Havremel,,60,DLM60-0502,DLM60-0502-G60-10L,gulvmaling-glans-60,/qr/dlm60-0502-g60
